,hari,jam,jami,judul,durasi,desc
0,0,01,1,MAIN PUBGM SAMA MBA MBA GEMES CUMAN  RIBU  ,0 days 00:35:36,"DOWNLOAD LITA APP   HTTPS   LITA ONELINK ME PBK8 ERPAN
DOWNLOAD SEKARANG  ADA KESEMPATAN DAPAT FREE ORDER GAES 
SERU NIH APLIKASI JASA TEMAN MABAR SAMA CIWI2 CANTIK  ADA PRO PLAYERNYA JUGA 
 
IKUTI SOCIAL MEDIA LITA APP  ADA KESEMPATAN GRATIS UNTUK MABAR GAME DENGAN CEWEK  
YOUTUBE  HTTPS   WWW YOUTUBE COM CHANNEL UCSFJMA3ETOZGOPRDLEYXL8A
FACEBOOK  HTTPS   WWW FACEBOOK COM LITA  
INSTAGRAM  HTTPS   WWW INSTAGRAM COM LITA INDONESIA  
TIKTOK  HTTPS   WWW TIKTOK COM  LITA INDONESIA
 
JIKA KAMU ADALAH KONTEN KREATOR DAN MENYUKAI KONSEP APP LITA  SILAHKAN JOIN DI EVENT UNDANGAN DAN MENDAPATKAN BONUS   HTTPS   WWW LITA COOL KOL
TOP UP RESMI LITA  HTTPS   WWW LITA COOL RECHARGE
 LITAAPP  CARITEMANMABAR  JASATEMANMABAR
 SAYNOTOGABUT   BUCINANMABAR   TEMANGABUT  SUARAMANIS  MABARYUK  SERUSAMALITA



JOIN THIS CHANNEL TO GET ACCESS TO PERKS 
HTTPS   WWW YOUTUBE COM CHANNEL UCHTEHVB3P55URCQBDCWF OW JOIN

OFFICIAL MARCHENDISE ERPAN1140

WEB   HTTP   ERPANDISTRO COM
INSTAGRAM  HTTPS   BIT LY 2JCEW2F

NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
►MARI DI TONTON   DIJAMIN NGANGKANG   EH NGAKAK
✖ CLICK HERE TO SUBSCRIBE  HTTPS   WWW YOUTUBE COM C ERPAN1140
✖ OTHER CHANNEL  
HTTPS   WWW YOUTUBE COM C BIJIONTA
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

JANGAN LUPA ADD STEAM YA    ERPAN1140
●
NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
FP FACEBOOK   HTTPS   WWW FACEBOOK COM ANDIIRFAN1140
FACEBOOK   HTTPS   WWW FACEBOOK COM ADIY IRFAN
ASK FM   HTTP   ASK FM ERPAN1140
TWITTER   HTTPS   TWITTER COM ADIYIRFAN
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
BISNIS ONLY   BIJIONTA204 GMAIL COM
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●"
1,6,17,3,CARA PEMBUATAN BENDA SEHARI HARI   ,0 days 00:23:22,"JOIN THIS CHANNEL TO GET ACCESS TO PERKS 
HTTPS   WWW YOUTUBE COM CHANNEL UCHTEHVB3P55URCQBDCWF OW JOIN

OFFICIAL MARCHENDISE ERPAN1140

WEB   HTTP   ERPANDISTRO COM
INSTAGRAM  HTTPS   BIT LY 2JCEW2F

NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
►MARI DI TONTON   DIJAMIN NGANGKANG   EH NGAKAK
✖ CLICK HERE TO SUBSCRIBE  HTTPS   WWW YOUTUBE COM C ERPAN1140
✖ OTHER CHANNEL  
HTTPS   WWW YOUTUBE COM C BIJIONTA
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

JANGAN LUPA ADD STEAM YA    ERPAN1140
●
NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
FP FACEBOOK   HTTPS   WWW FACEBOOK COM ANDIIRFAN1140
FACEBOOK   HTTPS   WWW FACEBOOK COM ADIY IRFAN
ASK FM   HTTP   ASK FM ERPAN1140
TWITTER   HTTPS   TWITTER COM ADIYIRFAN
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
BISNIS ONLY   BIJIONTA204 GMAIL COM
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●"
2,5,10,3,IM BEK,0 days 00:14:13,"JOIN THIS CHANNEL TO GET ACCESS TO PERKS 
HTTPS   WWW YOUTUBE COM CHANNEL UCHTEHVB3P55URCQBDCWF OW JOIN

OFFICIAL MARCHENDISE ERPAN1140

WEB   HTTP   ERPANDISTRO COM
INSTAGRAM  HTTPS   BIT LY 2JCEW2F

NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
►MARI DI TONTON   DIJAMIN NGANGKANG   EH NGAKAK
✖ CLICK HERE TO SUBSCRIBE  HTTPS   WWW YOUTUBE COM C ERPAN1140
✖ OTHER CHANNEL  
HTTPS   WWW YOUTUBE COM C BIJIONTA
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

JANGAN LUPA ADD STEAM YA    ERPAN1140
●
NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
FP FACEBOOK   HTTPS   WWW FACEBOOK COM ANDIIRFAN1140
FACEBOOK   HTTPS   WWW FACEBOOK COM ADIY IRFAN
ASK FM   HTTP   ASK FM ERPAN1140
TWITTER   HTTPS   TWITTER COM ADIYIRFAN
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
BISNIS ONLY   BIJIONTA204 GMAIL COM
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●"
3,5,12,3,MELIHAT KEINDAHAAN PAL PALE PAL PALEE  ,0 days 00:21:09,"JOIN THIS CHANNEL TO GET ACCESS TO PERKS 
HTTPS   WWW YOUTUBE COM CHANNEL UCHTEHVB3P55URCQBDCWF OW JOIN

OFFICIAL MARCHENDISE ERPAN1140

WEB   HTTP   ERPANDISTRO COM
INSTAGRAM  HTTPS   BIT LY 2JCEW2F

NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
►MARI DI TONTON   DIJAMIN NGANGKANG   EH NGAKAK
✖ CLICK HERE TO SUBSCRIBE  HTTPS   WWW YOUTUBE COM C ERPAN1140
✖ OTHER CHANNEL  
HTTPS   WWW YOUTUBE COM C BIJIONTA
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

JANGAN LUPA ADD STEAM YA    ERPAN1140
●
NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
FP FACEBOOK   HTTPS   WWW FACEBOOK COM ANDIIRFAN1140
FACEBOOK   HTTPS   WWW FACEBOOK COM ADIY IRFAN
ASK FM   HTTP   ASK FM ERPAN1140
TWITTER   HTTPS   TWITTER COM ADIYIRFAN
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
BISNIS ONLY   BIJIONTA204 GMAIL COM
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●"
4,5,13,3,HARTA YG PALING BERHARGA ADALAH KELUARGA  ,0 days 00:18:23,"JOIN THIS CHANNEL TO GET ACCESS TO PERKS 
HTTPS   WWW YOUTUBE COM CHANNEL UCHTEHVB3P55URCQBDCWF OW JOIN

OFFICIAL MARCHENDISE ERPAN1140

WEB   HTTP   ERPANDISTRO COM
INSTAGRAM  HTTPS   BIT LY 2JCEW2F

NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
►MARI DI TONTON   DIJAMIN NGANGKANG   EH NGAKAK
✖ CLICK HERE TO SUBSCRIBE  HTTPS   WWW YOUTUBE COM C ERPAN1140
✖ OTHER CHANNEL  
HTTPS   WWW YOUTUBE COM C BIJIONTA
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

JANGAN LUPA ADD STEAM YA    ERPAN1140
●
NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
FP FACEBOOK   HTTPS   WWW FACEBOOK COM ANDIIRFAN1140
FACEBOOK   HTTPS   WWW FACEBOOK COM ADIY IRFAN
ASK FM   HTTP   ASK FM ERPAN1140
TWITTER   HTTPS   TWITTER COM ADIYIRFAN
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
BISNIS ONLY   BIJIONTA204 GMAIL COM
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●"
5,5,12,3,GAME HP YG LAGI HYPE AKHIR AKHIR INI  ,0 days 00:32:41,"BAGI BAGI HADIAH KHUSUS ACCOUNT BARU    

DOWNLOAD RAGNAROK M ETERNAL LOVE   
HTTPS   L TAPDB NET XADV9PRH

KLAIM HADIAHNYA DI LINK INI 
HTTPS   PARTY XD COM EVENT 2021FEBA

MASUKKAN KODE 
RO062021ER

 ROM  ROMEL  RAGNAROKM  RAGNAROKMETERNALLOVE
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●

JOIN THIS CHANNEL TO GET ACCESS TO PERKS 
HTTPS   WWW YOUTUBE COM CHANNEL UCHTEHVB3P55URCQBDCWF OW JOIN

OFFICIAL MARCHENDISE ERPAN1140

WEB   HTTP   ERPANDISTRO COM
INSTAGRAM  HTTPS   BIT LY 2JCEW2F

NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
►MARI DI TONTON   DIJAMIN NGANGKANG   EH NGAKAK
✖ CLICK HERE TO SUBSCRIBE  HTTPS   WWW YOUTUBE COM C ERPAN1140
✖ OTHER CHANNEL  
HTTPS   WWW YOUTUBE COM C BIJIONTA
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

JANGAN LUPA ADD STEAM YA    ERPAN1140
●
NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
FP FACEBOOK   HTTPS   WWW FACEBOOK COM ANDIIRFAN1140
FACEBOOK   HTTPS   WWW FACEBOOK COM ADIY IRFAN
ASK FM   HTTP   ASK FM ERPAN1140
TWITTER   HTTPS   TWITTER COM ADIYIRFAN
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
BISNIS ONLY   BIJIONTA204 GMAIL COM
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●"
6,0,15,3,SEKARANG KITA MENJELAJAH REELS INSTAGREM ,0 days 00:19:46,"JOIN THIS CHANNEL TO GET ACCESS TO PERKS 
HTTPS   WWW YOUTUBE COM CHANNEL UCHTEHVB3P55URCQBDCWF OW JOIN

OFFICIAL MARCHENDISE ERPAN1140

WEB   HTTP   ERPANDISTRO COM
INSTAGRAM  HTTPS   BIT LY 2JCEW2F

NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
►MARI DI TONTON   DIJAMIN NGANGKANG   EH NGAKAK
✖ CLICK HERE TO SUBSCRIBE  HTTPS   WWW YOUTUBE COM C ERPAN1140
✖ OTHER CHANNEL  
HTTPS   WWW YOUTUBE COM C BIJIONTA
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

JANGAN LUPA ADD STEAM YA    ERPAN1140
●
NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
FP FACEBOOK   HTTPS   WWW FACEBOOK COM ANDIIRFAN1140
FACEBOOK   HTTPS   WWW FACEBOOK COM ADIY IRFAN
ASK FM   HTTP   ASK FM ERPAN1140
TWITTER   HTTPS   TWITTER COM ADIYIRFAN
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
BISNIS ONLY   BIJIONTA204 GMAIL COM
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●"
7,0,14,3,MENJELAJAHI YOUTUBE SHORT  ,0 days 00:27:53,"JOIN THIS CHANNEL TO GET ACCESS TO PERKS 
HTTPS   WWW YOUTUBE COM CHANNEL UCHTEHVB3P55URCQBDCWF OW JOIN

OFFICIAL MARCHENDISE ERPAN1140

WEB   HTTP   ERPANDISTRO COM
INSTAGRAM  HTTPS   BIT LY 2JCEW2F

NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
►MARI DI TONTON   DIJAMIN NGANGKANG   EH NGAKAK
✖ CLICK HERE TO SUBSCRIBE  HTTPS   WWW YOUTUBE COM C ERPAN1140
✖ OTHER CHANNEL  
HTTPS   WWW YOUTUBE COM C BIJIONTA
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

JANGAN LUPA ADD STEAM YA    ERPAN1140
●
NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
FP FACEBOOK   HTTPS   WWW FACEBOOK COM ANDIIRFAN1140
FACEBOOK   HTTPS   WWW FACEBOOK COM ADIY IRFAN
ASK FM   HTTP   ASK FM ERPAN1140
TWITTER   HTTPS   TWITTER COM ADIYIRFAN
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
BISNIS ONLY   BIJIONTA204 GMAIL COM
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●"
8,6,19,3,HANYA BAPAK BAPAK YG BISA MELAKUKANNYA  ,0 days 00:23:21,"JOIN THIS CHANNEL TO GET ACCESS TO PERKS 
HTTPS   WWW YOUTUBE COM CHANNEL UCHTEHVB3P55URCQBDCWF OW JOIN

OFFICIAL MARCHENDISE ERPAN1140

WEB   HTTP   ERPANDISTRO COM
INSTAGRAM  HTTPS   BIT LY 2JCEW2F

NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
►MARI DI TONTON   DIJAMIN NGANGKANG   EH NGAKAK
✖ CLICK HERE TO SUBSCRIBE  HTTPS   WWW YOUTUBE COM C ERPAN1140
✖ OTHER CHANNEL  
HTTPS   WWW YOUTUBE COM C BIJIONTA
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

JANGAN LUPA ADD STEAM YA    ERPAN1140
●
NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
FP FACEBOOK   HTTPS   WWW FACEBOOK COM ANDIIRFAN1140
FACEBOOK   HTTPS   WWW FACEBOOK COM ADIY IRFAN
ASK FM   HTTP   ASK FM ERPAN1140
TWITTER   HTTPS   TWITTER COM ADIYIRFAN
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
BISNIS ONLY   BIJIONTA204 GMAIL COM
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●"
9,2,12,3,SIAPA YG TIDAK SUKA MENJADI BEBAN KELUARGA DAN KAYA RAYA  ,0 days 00:19:48,"JANGAN LUPA JOIN DAN DOWNLOAD TIKTOK   HTTPS   VT TIKTOK COM ZSJQ16NN2 
KODE REFFERAL   F3288Z6J2PYVL
KALIAN BISA DAPAT UANG HANYA REBAHAN DAN NONTON TIKTOK DOANG GEYS    APALAGI YG DITUNGGU   
LANGSUNG DOWNLOAD TIK TOK DAN JANGAN LUPA GUNAIN KODE REFFERALNYA YA   
 ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
JOIN THIS CHANNEL TO GET ACCESS TO PERKS 
HTTPS   WWW YOUTUBE COM CHANNEL UCHTEHVB3P55URCQBDCWF OW JOIN

OFFICIAL MARCHENDISE ERPAN1140

WEB   HTTP   ERPANDISTRO COM
INSTAGRAM  HTTPS   BIT LY 2JCEW2F

NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
►MARI DI TONTON   DIJAMIN NGANGKANG   EH NGAKAK
✖ CLICK HERE TO SUBSCRIBE  HTTPS   WWW YOUTUBE COM C ERPAN1140
✖ OTHER CHANNEL  
HTTPS   WWW YOUTUBE COM C BIJIONTA
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● 

JANGAN LUPA ADD STEAM YA    ERPAN1140
●
NEW INSTAGRAM   HTTPS   WWW INSTAGRAM COM E ERPAN1140 
FP FACEBOOK   HTTPS   WWW FACEBOOK COM ANDIIRFAN1140
FACEBOOK   HTTPS   WWW FACEBOOK COM ADIY IRFAN
ASK FM   HTTP   ASK FM ERPAN1140
TWITTER   HTTPS   TWITTER COM ADIYIRFAN
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●
BISNIS ONLY   BIJIONTA204 GMAIL COM
● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ● ●"
