
,hari,jam,jami,judul,durasi,desc
0,2,04,1,AUTO KAYA  BOCIL MANCING DI DANAU PAKAI MAGNET MENEMUKAN HARTA KARUN BELANDA BERUMUR  TAHUN   ,0 days 00:16:30,"► SUBSCRIBE GRATIS    HTTPS   GOO GL VJNZ1S
► LIKES   SHARE JIKA KALIAN SUKA   
► FOLLOW INSTAGRAM GRATIS    HTTPS   WWW INSTAGRAM COM FROSTDIAMONDD 
► DISCORD FROST DIAMOND   HTTPS   DISCORD GG XG3BR8S

DESCRIPTION   
SEMOGA KALIAN SEMUA TERHIBUR YA  D

INTRUCTION   
SILAHKAN DI TONTON SAMPAI HABIS DI JAMIN NGAKAK KALAU GA KETAWA PAKSAIN KETAWA YA HEHEHE DAN JANGAN DI SKIP   JANGAN LUPA LIKE HARGAI KARYA SESEORANG  DAN JANGAN LUPA SUBSCRIBE  KARENA SUBSCRIBE BERLANGGANAN ITU GERATIS  TRIMAKASI  D"
1,1,03,1,BARU BELI SENJATA WOODPACKER NECROMANCER     VS  SQUAD BISA RATAIN SENDIRIAN AUTO BOOYAH ,0 days 00:15:20,"► SUBSCRIBE GRATIS    HTTPS   GOO GL VJNZ1S
► LIKES   SHARE JIKA KALIAN SUKA   
► FOLLOW INSTAGRAM GRATIS    HTTPS   WWW INSTAGRAM COM FROSTDIAMONDD 
► DISCORD FROST DIAMOND   HTTPS   DISCORD GG XG3BR8S

DESCRIPTION   
SEMOGA KALIAN SEMUA TERHIBUR YA  D

INTRUCTION   
SILAHKAN DI TONTON SAMPAI HABIS DI JAMIN NGAKAK KALAU GA KETAWA PAKSAIN KETAWA YA HEHEHE DAN JANGAN DI SKIP   JANGAN LUPA LIKE HARGAI KARYA SESEORANG  DAN JANGAN LUPA SUBSCRIBE  KARENA SUBSCRIBE BERLANGGANAN ITU GERATIS  TRIMAKASI  D"
2,0,01,1,DRAMA BOCIL DI CULIK PENJUAL ICE SCREAM PSIKOPET  APAPUN YANG TERJADI KITA HARUS SELAMATKAN BOCIL   ,0 days 00:18:21,"► SUBSCRIBE GRATIS    HTTPS   GOO GL VJNZ1S
► LIKES   SHARE JIKA KALIAN SUKA   
► FOLLOW INSTAGRAM GRATIS    HTTPS   WWW INSTAGRAM COM FROSTDIAMONDD 
► DISCORD FROST DIAMOND   HTTPS   DISCORD GG XG3BR8S

DESCRIPTION   
SEMOGA KALIAN SEMUA TERHIBUR YA  D

INTRUCTION   
SILAHKAN DI TONTON SAMPAI HABIS DI JAMIN NGAKAK KALAU GA KETAWA PAKSAIN KETAWA YA HEHEHE DAN JANGAN DI SKIP   JANGAN LUPA LIKE HARGAI KARYA SESEORANG  DAN JANGAN LUPA SUBSCRIBE  KARENA SUBSCRIBE BERLANGGANAN ITU GERATIS  TRIMAKASI  D"
3,6,01,1,PRANK BOCIL LOUDSPEAKER SUARA HANTU LAGI PUSH RANK EP EP DIKAMAR MANDI  DIA MARAH BESAR GAGAL BOYAH ,0 days 00:19:39,"► SUBSCRIBE GRATIS    HTTPS   GOO GL VJNZ1S
► LIKES   SHARE JIKA KALIAN SUKA   
► FOLLOW INSTAGRAM GRATIS    HTTPS   WWW INSTAGRAM COM FROSTDIAMONDD 
► DISCORD FROST DIAMOND   HTTPS   DISCORD GG XG3BR8S

DESCRIPTION   
SEMOGA KALIAN SEMUA TERHIBUR YA  D

INTRUCTION   
SILAHKAN DI TONTON SAMPAI HABIS DI JAMIN NGAKAK KALAU GA KETAWA PAKSAIN KETAWA YA HEHEHE DAN JANGAN DI SKIP   JANGAN LUPA LIKE HARGAI KARYA SESEORANG  DAN JANGAN LUPA SUBSCRIBE  KARENA SUBSCRIBE BERLANGGANAN ITU GERATIS  TRIMAKASI  D"
4,5,01,1,AKHIRNYA BARU BELI SENJATA UZI AMBER MEGACYBER     VS  SQUAD BISA RATAIN SENDIRIAN ,0 days 00:15:01,"► SUBSCRIBE GRATIS    HTTPS   GOO GL VJNZ1S
► LIKES   SHARE JIKA KALIAN SUKA   
► FOLLOW INSTAGRAM GRATIS    HTTPS   WWW INSTAGRAM COM FROSTDIAMONDD 
► DISCORD FROST DIAMOND   HTTPS   DISCORD GG XG3BR8S

DESCRIPTION   
SEMOGA KALIAN SEMUA TERHIBUR YA  D

INTRUCTION   
SILAHKAN DI TONTON SAMPAI HABIS DI JAMIN NGAKAK KALAU GA KETAWA PAKSAIN KETAWA YA HEHEHE DAN JANGAN DI SKIP   JANGAN LUPA LIKE HARGAI KARYA SESEORANG  DAN JANGAN LUPA SUBSCRIBE  KARENA SUBSCRIBE BERLANGGANAN ITU GERATIS  TRIMAKASI  D"
5,5,01,1,BEGINI RASANYA JADI IKAN BAR BAR DI DUNIA NYATA    I AM A FISH   ,0 days 00:14:56,"► SUBSCRIBE GRATIS    HTTPS   GOO GL VJNZ1S
► LIKES   SHARE JIKA KALIAN SUKA   
► FOLLOW INSTAGRAM GRATIS    HTTPS   WWW INSTAGRAM COM FROSTDIAMONDD 
► DISCORD FROST DIAMOND   HTTPS   DISCORD GG XG3BR8S

DESCRIPTION   
SEMOGA KALIAN SEMUA TERHIBUR YA  D

INTRUCTION   
SILAHKAN DI TONTON SAMPAI HABIS DI JAMIN NGAKAK KALAU GA KETAWA PAKSAIN KETAWA YA HEHEHE DAN JANGAN DI SKIP   JANGAN LUPA LIKE HARGAI KARYA SESEORANG  DAN JANGAN LUPA SUBSCRIBE  KARENA SUBSCRIBE BERLANGGANAN ITU GERATIS  TRIMAKASI  D"
6,4,00,1,GILA    EXPERIMENT MOBIL MAINAN   ROKET   IDE BURUK  AKU GA PERNAH SETAKUT INI   ,0 days 00:15:23,"► SUBSCRIBE GRATIS    HTTPS   GOO GL VJNZ1S
► LIKES   SHARE JIKA KALIAN SUKA   
► FOLLOW INSTAGRAM GRATIS    HTTPS   WWW INSTAGRAM COM FROSTDIAMONDD 
► DISCORD FROST DIAMOND   HTTPS   DISCORD GG XG3BR8S

DESCRIPTION   
SEMOGA KALIAN SEMUA TERHIBUR YA  D

INTRUCTION   
SILAHKAN DI TONTON SAMPAI HABIS DI JAMIN NGAKAK KALAU GA KETAWA PAKSAIN KETAWA YA HEHEHE DAN JANGAN DI SKIP   JANGAN LUPA LIKE HARGAI KARYA SESEORANG  DAN JANGAN LUPA SUBSCRIBE  KARENA SUBSCRIBE BERLANGGANAN ITU GERATIS  TRIMAKASI  D"
7,3,04,1,FROST DIAMOND DIKEJAR PENJUAL PIZZA MENGERIKAN DI ROBLOX   ,0 days 00:11:32,"► SUBSCRIBE GRATIS    HTTPS   GOO GL VJNZ1S
► LIKES   SHARE JIKA KALIAN SUKA   
► FOLLOW INSTAGRAM GRATIS    HTTPS   WWW INSTAGRAM COM FROSTDIAMONDD 
► DISCORD FROST DIAMOND   HTTPS   DISCORD GG XG3BR8S

DESCRIPTION   
SEMOGA KALIAN SEMUA TERHIBUR YA  D

INTRUCTION   
SILAHKAN DI TONTON SAMPAI HABIS DI JAMIN NGAKAK KALAU GA KETAWA PAKSAIN KETAWA YA HEHEHE DAN JANGAN DI SKIP   JANGAN LUPA LIKE HARGAI KARYA SESEORANG  DAN JANGAN LUPA SUBSCRIBE  KARENA SUBSCRIBE BERLANGGANAN ITU GERATIS  TRIMAKASI  D"
8,3,03,1,KISAH BARU NEMO  MENCARI IBU KANDUNGNYA DI PALUNG MARIANA    I AM A FISH   ,0 days 00:16:35,"► SUBSCRIBE GRATIS    HTTPS   GOO GL VJNZ1S
► LIKES   SHARE JIKA KALIAN SUKA   
► FOLLOW INSTAGRAM GRATIS    HTTPS   WWW INSTAGRAM COM FROSTDIAMONDD 
► DISCORD FROST DIAMOND   HTTPS   DISCORD GG XG3BR8S

DESCRIPTION   
SEMOGA KALIAN SEMUA TERHIBUR YA  D

INTRUCTION   
SILAHKAN DI TONTON SAMPAI HABIS DI JAMIN NGAKAK KALAU GA KETAWA PAKSAIN KETAWA YA HEHEHE DAN JANGAN DI SKIP   JANGAN LUPA LIKE HARGAI KARYA SESEORANG  DAN JANGAN LUPA SUBSCRIBE  KARENA SUBSCRIBE BERLANGGANAN ITU GERATIS  TRIMAKASI  D"
9,2,00,1,DI TELFON CARTOON CAT    SEMUA PANIK  FROST DIAMOND KETAKUTAN SAMPAI TIDUR DI LANTAI NANGIS KEJER   ,0 days 00:19:26,"► SUBSCRIBE GRATIS    HTTPS   GOO GL VJNZ1S
► LIKES   SHARE JIKA KALIAN SUKA   
► FOLLOW INSTAGRAM GRATIS    HTTPS   WWW INSTAGRAM COM FROSTDIAMONDD 
► DISCORD FROST DIAMOND   HTTPS   DISCORD GG XG3BR8S

DESCRIPTION   
SEMOGA KALIAN SEMUA TERHIBUR YA  D

INTRUCTION   
SILAHKAN DI TONTON SAMPAI HABIS DI JAMIN NGAKAK KALAU GA KETAWA PAKSAIN KETAWA YA HEHEHE DAN JANGAN DI SKIP   JANGAN LUPA LIKE HARGAI KARYA SESEORANG  DAN JANGAN LUPA SUBSCRIBE  KARENA SUBSCRIBE BERLANGGANAN ITU GERATIS  TRIMAKASI  D"
