
,hari,jam,jami,judul,durasi,desc
0,0,14,3,UNBOXING DAN REVIEW GAMING  INCH ULTRAWIDE CURVED MONITOR DARI XIAOMI,0 days 00:05:19,"DALAM VIDEO INI AKU UNBOXING DAN QUICK REVIEW MONITOR GAMING  INCH YANG DIBUAT OLEH XIAOMI  

INFORMASI PRODUK  HTTPS   WWW MI CO ID ID MONITOR34 "
1,6,06,1,I BINGED WATCHED ATTACK ON TITAN UNTIL SEASON   SHOULD YOU ,0 days 00:05:45,I WATCHED FROM THE VERY BEGINNING UP UNTIL SEASON  IN THREE DAYS  HERE IS MY SUBJECTIVE TAKE ON THE RISING ANIME  ATTACK ON TITAN  
2,5,13,3,PERGI HILANG DAN LUPAKAN  COVER    KANG BAHAR,0 days 00:03:08,"PERGI HILANG DAN LUPAKAN   REMEMBER OF TODAY   COVER BY KANG BAHAR


LAGU APA YANG KALIAN INGIN KANG BAHAR NYANYIKAN SELANJUTNYA  

DAN JANGAN LUPA LIKE  SHARE DAN SUBSCRIBE YAA 

VIDEO DIREKAM DENGAN MICROPHONE ALCTRON UR33"
3,2,12,3,UNBOXING DAN REVIEW CONDENSER MICROPHONE ALCTRON UR33,0 days 00:04:45,
4,6,16,3,CELENGAN RINDU  COVER    KANG BAHAR,0 days 00:03:29,
5,6,09,3,HILO   MENGENANG MASA SMA  CATATAN AKHIR KELAS ,0 days 00:04:01,SONG  ALL WE KNOW   THE CHAINSMOKERS FT  PHOEBE RYAN  ACOUSTIC COVER BY TASJI   JOSH  HTTPS   YOUTU BE B8EAPABFWKE
6,6,13,3,KEAKTIFAN MAHASISWA DALAM KELAS  EXTROVERT VS INTROVERT,0 days 00:01:32,
7,3,17,3,REACTING TO MY OLD DIARY ENTRY,0 days 00:08:24,IT S CRAZY TO SEE HOW MUCH ONE PERSON CAN MATURE IN THE SPACE OF JUST TWO YEARS  I THOUGHT THIS WAS GOOD WAY TO VISUALIZE THE IMPACT OF TIME AND EXPERIENCE TOWARDS ONE PERSON S MATURITY  I HAD FUN MAKING THIS VIDEO  I HOPE YOU ENJOY WATCHING AS I DID CREATING IT 
8,5,20,3,BIRTHDAY SURPRISE FOR BIGGY,0 days 00:02:26,"THIS VIDEO IS A BIRTHDAY SURPRISE FOR MY SISTER WHO CURRENTLY LIVES IN BRISBANE  AUSTRALIA  IT S A SHAME THAT I CAN T SURPRISE HER IN PERSON  I GUESS THIS IS ALL I CAN DO FOR NOW  I HOPE SHE ENJOYS IT 

MUSIC   INFINITY ONE DIRECTION  WHITNEY WOERZ COVER  
HTTPS   WWW YOUTUBE COM WATCH V 3NTPCSYQNWI"
9,5,14,3,BRISBANE   THE BEST FAMILY HOLIDAY DESTINATION,0 days 00:03:58,
10,0,14,3,SEGALA TENTANG KEWIRAUSAHAAN BIBIT TANAMAN HIAS,0 days 00:06:49,WAWANCARA ANTARA SISWA SMA NEGERI  JOMBANG DENGAN PENGUSAHA TANAMAN HIAS YANG SUKSES  DARI VIDEO INI KITA SEMUA DAPAT BELAJAR CARA MEMULAI USAHA BUDIDAYA TNAMAN HIAS
11,3,09,3,MANCHESTER UNITED   FIXTURES ANNOUNCED,0 days 00:02:09,
,hari,jam,jami,judul,durasi,desc
0,0,10,3,KEMAZ PAKE Z BIKIN RUSUH DI ACARA REUNIAN KREATOR FREE FIRE    ,0 days 00:21:53,"NONTON SAMPE AKHIR YAH
SALAM MANTAPKALI


BAWA FUN AJA YAH KALO KALIAN TERHIBUR JGN LUPA LIKE SHARE YAH
KALO TIDAK TERHIBUR TERSENYUM LAH
SALAM MANTAPKALI 
AYLAPYAAAAAAH     


SUPORT GUA DENGAN SUB MY CHANNEL
HTTPS   WWW YOUTUBE COM CHANNEL UCCES4SBTTY3L73M0WSZIX3G VIEW AS SUBSCRIBER

CHANNEL KE 
HTTPS   WWW YOUTUBE COM CHANNEL UC 7LNFBQDL5RDFG 4OOHNFQ VIDEOS

JGN LUPA FOLLOW MY INSTAGRAM
INSTAGRAM   KEMAS PAKE Z
HTTPS   WWW INSTAGRAM COM KEMASPAKEZ 


ENDORSE   PAID PEROMOTE 
EMAIL
KEMAS WHIM SG
WHIM MANAGEMND
 KEMASPAKEZ  FREEFIRE  MANTAPKALI"
1,6,04,1,DRAMA FREE FIRE PERCINTAAN YANG MERESAHKAN BOCIL ALOK    LORD KEMAZ KASIH PAHAM,0 days 00:16:02,"NONTON SAMPE AKHIR YAH
SALAM MANTAPKALI


BAWA FUN AJA YAH KALO KALIAN TERHIBUR JGN LUPA LIKE SHARE YAH
KALO TIDAK TERHIBUR TERSENYUM LAH
SALAM MANTAPKALI 
AYLAPYAAAAAAH     


SUPORT GUA DENGAN SUB MY CHANNEL
HTTPS   WWW YOUTUBE COM CHANNEL UCCES4SBTTY3L73M0WSZIX3G VIEW AS SUBSCRIBER

CHANNEL KE 
HTTPS   WWW YOUTUBE COM CHANNEL UC 7LNFBQDL5RDFG 4OOHNFQ VIDEOS

JGN LUPA FOLLOW MY INSTAGRAM
INSTAGRAM   KEMAS PAKE Z
HTTPS   WWW INSTAGRAM COM KEMASPAKEZ 


ENDORSE   PAID PEROMOTE 
EMAIL
KEMAS WHIM SG
WHIM MANAGEMND
 KEMASPAKEZ  FREEFIRE  MANTAPKALI"
2,3,05,1,TIDAK PERNAH NYENTUH FREE FIRE INI ALASAN NYA    ,0 days 00:16:43,"NONTON SAMPE AKHIR YAH
SALAM MANTAPKALI


BAWA FUN AJA YAH KALO KALIAN TERHIBUR JGN LUPA LIKE SHARE YAH
KALO TIDAK TERHIBUR TERSENYUM LAH
SALAM MANTAPKALI 
AYLAPYAAAAAAH     


SUPORT GUA DENGAN SUB MY CHANNEL
HTTPS   WWW YOUTUBE COM CHANNEL UCCES4SBTTY3L73M0WSZIX3G VIEW AS SUBSCRIBER

CHANNEL KE 
HTTPS   WWW YOUTUBE COM CHANNEL UC 7LNFBQDL5RDFG 4OOHNFQ VIDEOS

JGN LUPA FOLLOW MY INSTAGRAM
INSTAGRAM   KEMAS PAKE Z
HTTPS   WWW INSTAGRAM COM KEMASPAKEZ 


ENDORSE   PAID PEROMOTE 
EMAIL
KEMAS WHIM SG
WHIM MANAGEMND
 KEMASPAKEZ  FREEFIRE  MANTAPKALI"
