,hari,jam,jami,judul,durasi,desc
0,2,01,1,BARBAR DI GRANDMASTER SAMA TOP  DAN  REGION 40KILL,0 days 00:13:08,"───────────
▶ HYPER FAMILLY CHANNEL
» DIAN PRATIWI   HTTPS   WWW YOUTUBE COM WATCH V BYPD B6NX34
» ASEP    HTTPS   WWW YOUTUBE COM WATCH V 0N8N00N2KMC
───────────
SUBSCRIBE HERE TO NEVER MISS A VIDEO  HTTPS   BIT LY SUBSDULUCOY
JOIN MY NOTIFICATION SQUAD BY CLICKING THE  BELL
WATCH ME LIVE ON FACEBOOK HTTP   BIT LY LIVELETDA
───────────
▶ CHECK OUT MY OFFICIAL SOCIAL MEDIA 
» INSTAGRAM LETDA HYPER  HTTPS   BIT LY IGLETDAHYPER
» FACEBOOK PAGE  HTTP   BIT LY LHFANSPAGE
───────────
AUTHORIZED MY BUSINESS  
» INSTAGRAM LETDA TOPUP  HTTP   BIT LY HYPERTOPUP
» INSTAGRAM LETDA CLOTH  HTTP   BIT LY HYPERCLOTH
» INSTAGRAM LETDA BUSINESS  HTTP   BIT LY HYPERBUSINESS
───────────
FOUNDER ETERNAL 
» INSTAGRAM ETERNAL  HTTPS   BIT LY IGOFFICIALETERNAL
» DISCORD  HTTPS   BIT LY DISCORDLETDA
───────────
MOST OF VIDEO 
»  HASIL STREAMING  HTTPS   BIT LY HASILSTREAMINGYOUTUBELETDA
»  VIDEO HIGHLIGHTS  HTTPS   BIT LY LETDAHIGHLIGHTS
»  VIDEO TIPS   TRICKS  HTTPS   BIT LY LETDATUTORIAL
───────────
BUSSINES INQUIRY 
LETDABUSINESS GMAIL COM


REGARDS 
LETDA HYPER

 LETDAHYPER
 FREEFIRE

THANKS FOR WATCHING   "
1,1,04,1,DUEL BERSAMA CODEX GAMING   ASLI AIMNYA TERLALU SADIS BIKIN TANGAN GUE INSECURE   FRIENDSHIP WAR,0 days 00:19:24,"▶ HYPER FAMILLY CHANNEL
» DIAN PRATIWI   HTTPS   WWW YOUTUBE COM WATCH V BYPD B6NX34
» ASEP    HTTPS   WWW YOUTUBE COM WATCH V 0N8N00N2KMC
───────────
SUBSCRIBE HERE TO NEVER MISS A VIDEO  HTTPS   BIT LY SUBSDULUCOY
JOIN MY NOTIFICATION SQUAD BY CLICKING THE  BELL
WATCH ME LIVE ON FACEBOOK HTTP   BIT LY LIVELETDA
───────────
▶ CHECK OUT MY OFFICIAL SOCIAL MEDIA 
» INSTAGRAM LETDA HYPER  HTTPS   BIT LY IGLETDAHYPER
» FACEBOOK PAGE  HTTP   BIT LY LHFANSPAGE
───────────
AUTHORIZED MY BUSINESS  
» INSTAGRAM LETDA TOPUP  HTTP   BIT LY HYPERTOPUP
» INSTAGRAM LETDA CLOTH  HTTP   BIT LY HYPERCLOTH
» INSTAGRAM LETDA BUSINESS  HTTP   BIT LY HYPERBUSINESS
───────────
FOUNDER ETERNAL 
» INSTAGRAM ETERNAL  HTTPS   BIT LY IGOFFICIALETERNAL
» DISCORD  HTTPS   BIT LY DISCORDLETDA
───────────
MOST OF VIDEO 
»  HASIL STREAMING  HTTPS   BIT LY HASILSTREAMINGYOUTUBELETDA
»  VIDEO HIGHLIGHTS  HTTPS   BIT LY LETDAHIGHLIGHTS
»  VIDEO TIPS   TRICKS  HTTPS   BIT LY LETDATUTORIAL
───────────
BUSSINES INQUIRY 
LETDABUSINESS GMAIL COM


REGARDS 
LETDA HYPER

 LETDAHYPER
 FREEFIRE

THANKS FOR WATCHING   "
2,0,06,1,DUEL BERSAMA WILLIAM GZ    GLOWALLNYA CEPET BANGET GIILA GAK DAPET CELAH NEMBAK GUE   FRIENDSHIP WAR,0 days 00:23:20,"───────────
▶ HYPER FAMILLY CHANNEL
» DIAN PRATIWI   HTTPS   WWW YOUTUBE COM WATCH V BYPD B6NX34
» ASEP    HTTPS   WWW YOUTUBE COM WATCH V 0N8N00N2KMC
───────────
SUBSCRIBE HERE TO NEVER MISS A VIDEO  HTTPS   BIT LY SUBSDULUCOY
JOIN MY NOTIFICATION SQUAD BY CLICKING THE  BELL
WATCH ME LIVE ON FACEBOOK HTTP   BIT LY LIVELETDA
───────────
▶ CHECK OUT MY OFFICIAL SOCIAL MEDIA 
» INSTAGRAM LETDA HYPER  HTTPS   BIT LY IGLETDAHYPER
» FACEBOOK PAGE  HTTP   BIT LY LHFANSPAGE
───────────
AUTHORIZED MY BUSINESS  
» INSTAGRAM LETDA TOPUP  HTTP   BIT LY HYPERTOPUP
» INSTAGRAM LETDA CLOTH  HTTP   BIT LY HYPERCLOTH
» INSTAGRAM LETDA BUSINESS  HTTP   BIT LY HYPERBUSINESS
───────────
FOUNDER ETERNAL 
» INSTAGRAM ETERNAL  HTTPS   BIT LY IGOFFICIALETERNAL
» DISCORD  HTTPS   BIT LY DISCORDLETDA
───────────
MOST OF VIDEO 
»  HASIL STREAMING  HTTPS   BIT LY HASILSTREAMINGYOUTUBELETDA
»  VIDEO HIGHLIGHTS  HTTPS   BIT LY LETDAHIGHLIGHTS
»  VIDEO TIPS   TRICKS  HTTPS   BIT LY LETDATUTORIAL
───────────
BUSSINES INQUIRY 
LETDABUSINESS GMAIL COM


REGARDS 
LETDA HYPER

 LETDAHYPER
 FREEFIRE

THANKS FOR WATCHING   "
3,6,23,3,UNBOXING GZ SEKALIAN REUNIAN YOUTUBER FREEFIRE SETELAH 3THN TIDAK BERJUMPA      HYPERVLOG,0 days 00:17:48,"───────────
▶ HYPER FAMILLY CHANNEL
» DIAN PRATIWI   HTTPS   WWW YOUTUBE COM WATCH V BYPD B6NX34
» ASEP    HTTPS   WWW YOUTUBE COM WATCH V 0N8N00N2KMC
───────────
SUBSCRIBE HERE TO NEVER MISS A VIDEO  HTTPS   BIT LY SUBSDULUCOY
JOIN MY NOTIFICATION SQUAD BY CLICKING THE  BELL
WATCH ME LIVE ON FACEBOOK HTTP   BIT LY LIVELETDA
───────────
▶ CHECK OUT MY OFFICIAL SOCIAL MEDIA 
» INSTAGRAM LETDA HYPER  HTTPS   BIT LY IGLETDAHYPER
» FACEBOOK PAGE  HTTP   BIT LY LHFANSPAGE
───────────
AUTHORIZED MY BUSINESS  
» INSTAGRAM LETDA TOPUP  HTTP   BIT LY HYPERTOPUP
» INSTAGRAM LETDA CLOTH  HTTP   BIT LY HYPERCLOTH
» INSTAGRAM LETDA BUSINESS  HTTP   BIT LY HYPERBUSINESS
───────────
FOUNDER ETERNAL 
» INSTAGRAM ETERNAL  HTTPS   BIT LY IGOFFICIALETERNAL
» DISCORD  HTTPS   BIT LY DISCORDLETDA
───────────
MOST OF VIDEO 
»  HASIL STREAMING  HTTPS   BIT LY HASILSTREAMINGYOUTUBELETDA
»  VIDEO HIGHLIGHTS  HTTPS   BIT LY LETDAHIGHLIGHTS
»  VIDEO TIPS   TRICKS  HTTPS   BIT LY LETDATUTORIAL
───────────
BUSSINES INQUIRY 
LETDABUSINESS GMAIL COM


REGARDS 
LETDA HYPER

 LETDAHYPER
 FREEFIRE

THANKS FOR WATCHING   "
4,5,21,3,DUEL BERSAMA TOP  GRANDMASTER REGION INDONESIA    KALAH MINUSIN RANK    GAS   SPECIAL 9JUTA SUBS,0 days 00:20:45,"DOWNLOAD RISE OF KINGDOMS  HTTPS   BIT LY LETDAROK21
GIFTCODE  FIGHTINROK
JOIN IN THE EVENT HTTPS   BIT LY LETDAROK21EVENT AND WIN TONZ OF PRIZES  IPHONE   PS5  NEW SWITCH OLED AND MANY MORE
───────────
▶ HYPER FAMILLY CHANNEL
» DIAN PRATIWI   HTTPS   WWW YOUTUBE COM WATCH V BYPD B6NX34
» ASEP    HTTPS   WWW YOUTUBE COM WATCH V 0N8N00N2KMC
───────────
SUBSCRIBE HERE TO NEVER MISS A VIDEO  HTTPS   BIT LY SUBSDULUCOY
JOIN MY NOTIFICATION SQUAD BY CLICKING THE  BELL
WATCH ME LIVE ON FACEBOOK HTTP   BIT LY LIVELETDA
───────────
▶ CHECK OUT MY OFFICIAL SOCIAL MEDIA 
» INSTAGRAM LETDA HYPER  HTTPS   BIT LY IGLETDAHYPER
» FACEBOOK PAGE  HTTP   BIT LY LHFANSPAGE
───────────
AUTHORIZED MY BUSINESS  
» INSTAGRAM LETDA TOPUP  HTTP   BIT LY HYPERTOPUP
» INSTAGRAM LETDA CLOTH  HTTP   BIT LY HYPERCLOTH
» INSTAGRAM LETDA BUSINESS  HTTP   BIT LY HYPERBUSINESS
───────────
FOUNDER ETERNAL 
» INSTAGRAM ETERNAL  HTTPS   BIT LY IGOFFICIALETERNAL
» DISCORD  HTTPS   BIT LY DISCORDLETDA
───────────
MOST OF VIDEO 
»  HASIL STREAMING  HTTPS   BIT LY HASILSTREAMINGYOUTUBELETDA
»  VIDEO HIGHLIGHTS  HTTPS   BIT LY LETDAHIGHLIGHTS
»  VIDEO TIPS   TRICKS  HTTPS   BIT LY LETDATUTORIAL
───────────
BUSSINES INQUIRY 
LETDABUSINESS GMAIL COM


REGARDS 
LETDA HYPER

 LETDAHYPER
 FREEFIRE

THANKS FOR WATCHING   "
5,4,06,1,DUEL BERSAMA TOP  GRANDMASTER REGION INDONESIA    ASLI MENTAL GUE KESENGGOL   FRIENDSHIP WAR,0 days 00:12:25,"───────────
▶ HYPER FAMILLY CHANNEL
» DIAN PRATIWI   HTTPS   WWW YOUTUBE COM WATCH V BYPD B6NX34
» ASEP    HTTPS   WWW YOUTUBE COM WATCH V 0N8N00N2KMC
───────────
SUBSCRIBE HERE TO NEVER MISS A VIDEO  HTTPS   BIT LY SUBSDULUCOY
JOIN MY NOTIFICATION SQUAD BY CLICKING THE  BELL
WATCH ME LIVE ON FACEBOOK HTTP   BIT LY LIVELETDA
───────────
▶ CHECK OUT MY OFFICIAL SOCIAL MEDIA 
» INSTAGRAM LETDA HYPER  HTTPS   BIT LY IGLETDAHYPER
» FACEBOOK PAGE  HTTP   BIT LY LHFANSPAGE
───────────
AUTHORIZED MY BUSINESS  
» INSTAGRAM LETDA TOPUP  HTTP   BIT LY HYPERTOPUP
» INSTAGRAM LETDA CLOTH  HTTP   BIT LY HYPERCLOTH
» INSTAGRAM LETDA BUSINESS  HTTP   BIT LY HYPERBUSINESS
───────────
FOUNDER ETERNAL 
» INSTAGRAM ETERNAL  HTTPS   BIT LY IGOFFICIALETERNAL
» DISCORD  HTTPS   BIT LY DISCORDLETDA
───────────
MOST OF VIDEO 
»  HASIL STREAMING  HTTPS   BIT LY HASILSTREAMINGYOUTUBELETDA
»  VIDEO HIGHLIGHTS  HTTPS   BIT LY LETDAHIGHLIGHTS
»  VIDEO TIPS   TRICKS  HTTPS   BIT LY LETDATUTORIAL
───────────
BUSSINES INQUIRY 
LETDABUSINESS GMAIL COM


REGARDS 
LETDA HYPER

 LETDAHYPER
 FREEFIRE

THANKS FOR WATCHING   "
6,3,06,1,DI TANTANG BY1 SAMA TOP REGION  GRANDMASTER   KALAH KELUAR GUILD   OKE SIAPA TAKUT    ,0 days 00:14:08,"▶ TOP UP DIAMOND FREE FIRE ANTI RIBET  BISA JUGA TOP UP BUAT GAME LAIN LOH  LANGSUNG CEK DISINI  HTTPS   CODA SHOP LETDAHYPER​
 CODASHOP​
 CODASHOP IDOFFICIALL
───────────
▶ HYPER FAMILLY CHANNEL
» DIAN PRATIWI   HTTPS   WWW YOUTUBE COM WATCH V BYPD B6NX34
» ASEP    HTTPS   WWW YOUTUBE COM WATCH V 0N8N00N2KMC
───────────
SUBSCRIBE HERE TO NEVER MISS A VIDEO  HTTPS   BIT LY SUBSDULUCOY
JOIN MY NOTIFICATION SQUAD BY CLICKING THE  BELL
WATCH ME LIVE ON FACEBOOK HTTP   BIT LY LIVELETDA
───────────
▶ CHECK OUT MY OFFICIAL SOCIAL MEDIA 
» INSTAGRAM LETDA HYPER  HTTPS   BIT LY IGLETDAHYPER
» FACEBOOK PAGE  HTTP   BIT LY LHFANSPAGE
───────────
AUTHORIZED MY BUSINESS  
» INSTAGRAM LETDA TOPUP  HTTP   BIT LY HYPERTOPUP
» INSTAGRAM LETDA CLOTH  HTTP   BIT LY HYPERCLOTH
» INSTAGRAM LETDA BUSINESS  HTTP   BIT LY HYPERBUSINESS
───────────
FOUNDER ETERNAL 
» INSTAGRAM ETERNAL  HTTPS   BIT LY IGOFFICIALETERNAL
» DISCORD  HTTPS   BIT LY DISCORDLETDA
───────────
MOST OF VIDEO 
»  HASIL STREAMING  HTTPS   BIT LY HASILSTREAMINGYOUTUBELETDA
»  VIDEO HIGHLIGHTS  HTTPS   BIT LY LETDAHIGHLIGHTS
»  VIDEO TIPS   TRICKS  HTTPS   BIT LY LETDATUTORIAL
───────────
BUSSINES INQUIRY 
LETDABUSINESS GMAIL COM


REGARDS 
LETDA HYPER

 LETDAHYPER
 FREEFIRE

THANKS FOR WATCHING   "
7,2,02,1,GUE MAIN BARENG MEREKA MALAH REBUTAN KILL    KELUARIN JURUS REPLEK AIM MERAH SMG  TIKTOKBONUS,0 days 00:14:33," TIKTOKINDONESIA MEMBAYAR BONUS  UNTUK SETIAP PENGGUNA BARU YANG ANDA UNDANG   UNDANG  TEMAN UNTUK MENDOWNLOAD APLIKASI MELALUI LINK ANDA  DAN ANDA SEMUA BISA MENDAPATKAN REAL   IDR   DAN LEBIH BANYAK LAGI  SEMAKIN BANYAK TEMAN YANG ANDA UNDANG  BURUAN DOWNLOAD TIKTOK SEKARANG DAN GUNAKAN KODE UNDANGAN SAYA INI KODE REFERRAL F6A7SU32MXYZQ ATAU KALIAN BISA LANGSUNG KLIK    HTTPS   VT TIKTOK COM ZSJNAX7VU 
 TIKTOKBONUS
───────────
▶ HYPER FAMILLY CHANNEL
» DIAN PRATIWI   HTTPS   WWW YOUTUBE COM WATCH V BYPD B6NX34
» ASEP    HTTPS   WWW YOUTUBE COM WATCH V 0N8N00N2KMC
───────────
SUBSCRIBE HERE TO NEVER MISS A VIDEO  HTTPS   BIT LY SUBSDULUCOY
JOIN MY NOTIFICATION SQUAD BY CLICKING THE  BELL
WATCH ME LIVE ON FACEBOOK HTTP   BIT LY LIVELETDA
───────────
▶ CHECK OUT MY OFFICIAL SOCIAL MEDIA 
» INSTAGRAM LETDA HYPER  HTTPS   BIT LY IGLETDAHYPER
» FACEBOOK PAGE  HTTP   BIT LY LHFANSPAGE
───────────
AUTHORIZED MY BUSINESS  
» INSTAGRAM LETDA TOPUP  HTTP   BIT LY HYPERTOPUP
» INSTAGRAM LETDA CLOTH  HTTP   BIT LY HYPERCLOTH
» INSTAGRAM LETDA BUSINESS  HTTP   BIT LY HYPERBUSINESS
───────────
FOUNDER ETERNAL 
» INSTAGRAM ETERNAL  HTTPS   BIT LY IGOFFICIALETERNAL
» DISCORD  HTTPS   BIT LY DISCORDLETDA
───────────
MOST OF VIDEO 
»  HASIL STREAMING  HTTPS   BIT LY HASILSTREAMINGYOUTUBELETDA
»  VIDEO HIGHLIGHTS  HTTPS   BIT LY LETDAHIGHLIGHTS
»  VIDEO TIPS   TRICKS  HTTPS   BIT LY LETDATUTORIAL
───────────
BUSSINES INQUIRY 
LETDABUSINESS GMAIL COM


REGARDS 
LETDA HYPER

 LETDAHYPER
 FREEFIRE

THANKS FOR WATCHING   "
8,0,01,1,OH TERNYATA BEGINI RASANYA JADI PLAYER KECIL    GUE NIAT BAIK MALAH DI HIN4 C4CI M4KI    GUE TUSUNIN,0 days 00:14:22,"GILA MEN  SEKALI NONTON AJA LANGSUNG DEJAVU GUA  KEPIKIRAN TERUS SAMA SCENENYA YANG INI  APALAGI BANYAK WAIFU YANG KAWAI DISINI  MENDING LANGSUNG CEK AJA SENDIRI  JANGAN LUPA DI SUBSCRIBE JUGA  HTTPS   WWW YOUTUBE COM CHANNEL UCZTP6NCKRL73DFBXDJ53IFQ INFO LENGKAPNYA ADA DI  HTTPS   EXA HYPERGRYPH COM EN 
 EXASTRIS  HYPERGRYPH

───────────
▶ TOP UP DIAMOND FREE FIRE ANTI RIBET  BISA JUGA TOP UP BUAT GAME LAIN LOH  LANGSUNG CEK DISINI  HTTPS   CODA SHOP LETDAHYPER​
 CODASHOP​
 CODASHOP IDOFFICIALL
───────────
▶ HYPER FAMILLY CHANNEL
» DIAN PRATIWI   HTTPS   WWW YOUTUBE COM WATCH V BYPD B6NX34
» ASEP    HTTPS   WWW YOUTUBE COM WATCH V 0N8N00N2KMC
───────────
SUBSCRIBE HERE TO NEVER MISS A VIDEO  HTTPS   BIT LY SUBSDULUCOY
JOIN MY NOTIFICATION SQUAD BY CLICKING THE  BELL
WATCH ME LIVE ON FACEBOOK HTTP   BIT LY LIVELETDA
───────────
▶ CHECK OUT MY OFFICIAL SOCIAL MEDIA 
» INSTAGRAM LETDA HYPER  HTTPS   BIT LY IGLETDAHYPER
» FACEBOOK PAGE  HTTP   BIT LY LHFANSPAGE
───────────
AUTHORIZED MY BUSINESS  
» INSTAGRAM LETDA TOPUP  HTTP   BIT LY HYPERTOPUP
» INSTAGRAM LETDA CLOTH  HTTP   BIT LY HYPERCLOTH
» INSTAGRAM LETDA BUSINESS  HTTP   BIT LY HYPERBUSINESS
───────────
FOUNDER ETERNAL 
» INSTAGRAM ETERNAL  HTTPS   BIT LY IGOFFICIALETERNAL
» DISCORD  HTTPS   BIT LY DISCORDLETDA
───────────
MOST OF VIDEO 
»  HASIL STREAMING  HTTPS   BIT LY HASILSTREAMINGYOUTUBELETDA
»  VIDEO HIGHLIGHTS  HTTPS   BIT LY LETDAHIGHLIGHTS
»  VIDEO TIPS   TRICKS  HTTPS   BIT LY LETDATUTORIAL
───────────
BUSSINES INQUIRY 
LETDABUSINESS GMAIL COM


REGARDS 
LETDA HYPER

 LETDAHYPER
 FREEFIRE

THANKS FOR WATCHING   "
9,0,04,1,PERTAMA KALI DALAM HIDUP GUA DAPAT JACKPOT  DIAMOND DARI GARENA     MIMPI APA INI GARENAAAA   ,0 days 00:02:54,"───────────
▶ HYPER FAMILLY CHANNEL
» DIAN PRATIWI   HTTPS   WWW YOUTUBE COM WATCH V BYPD B6NX34
» ASEP    HTTPS   WWW YOUTUBE COM WATCH V 0N8N00N2KMC
───────────
SUBSCRIBE HERE TO NEVER MISS A VIDEO  HTTPS   BIT LY SUBSDULUCOY
JOIN MY NOTIFICATION SQUAD BY CLICKING THE  BELL
WATCH ME LIVE ON FACEBOOK HTTP   BIT LY LIVELETDA
───────────
▶ CHECK OUT MY OFFICIAL SOCIAL MEDIA 
» INSTAGRAM LETDA HYPER  HTTPS   BIT LY IGLETDAHYPER
» FACEBOOK PAGE  HTTP   BIT LY LHFANSPAGE
───────────
AUTHORIZED MY BUSINESS  
» INSTAGRAM LETDA TOPUP  HTTP   BIT LY HYPERTOPUP
» INSTAGRAM LETDA CLOTH  HTTP   BIT LY HYPERCLOTH
» INSTAGRAM LETDA BUSINESS  HTTP   BIT LY HYPERBUSINESS
───────────
FOUNDER ETERNAL 
» INSTAGRAM ETERNAL  HTTPS   BIT LY IGOFFICIALETERNAL
» DISCORD  HTTPS   BIT LY DISCORDLETDA
───────────
MOST OF VIDEO 
»  HASIL STREAMING  HTTPS   BIT LY HASILSTREAMINGYOUTUBELETDA
»  VIDEO HIGHLIGHTS  HTTPS   BIT LY LETDAHIGHLIGHTS
»  VIDEO TIPS   TRICKS  HTTPS   BIT LY LETDATUTORIAL
───────────
BUSSINES INQUIRY 
LETDABUSINESS GMAIL COM


REGARDS 
LETDA HYPER

 LETDAHYPER
 FREEFIRE

THANKS FOR WATCHING   "
